ふと目が覚めると、妙に股間がもどかしい…	眼睛睜開時、突然感覺到股間有種奇妙的感覺#朝騎乘位
下半身に目をやると、%CALLNAME:ARG%が%CALLNAME:MASTER%のペニスから溢れ出す先走り汁をペロペロと舐め取っていた…	看了看下半身、%CALLNAME:ARG%在舔%CALLNAME:MASTER%的陰莖流出來的先走汁……
「あ、%CNAMET(ARG, "二人称")%…おはようございます……」	「啊、%CNAMET(ARG, "二人称")%…早上好……」
「%CNAMET(ARG, "二人称")%がなかなかおきてくれないので、%CNAMET(ARG, "二人称")%のおちんちんであそんでました……」	「%CNAMET(ARG, "二人称")%一直不起來、就先跟%CNAMET(ARG, "二人称")%的雞雞玩了……」」
%CALLNAME:ARG%は微笑みながら両手で%CALLNAME:MASTER%のペニスを激しく扱くと、あと少しというところで動きを止めてしまった…	%CALLNAME:ARG%は一邊微笑一邊用手幫%CALLNAME:MASTER%の手淫、但在即將要射精之前便停下了手…
「こうやってびくびくーってなると、おちんちんからヌルヌルがいっぱい出てきます……」	「如果雞雞這樣抖動的話、就會射出很多喔……」
"「ふふ…%CNAMET(ARG, "一人称")%とおそろいですね……_BHH_」_W"	"「哈哈…跟%CNAMET(ARG, "一人称")%是一對的呢……_BHH_」_W"
%CALLNAME:ARG%は%CALLNAME:MASTER%の股間の上に跨ると、%CALLNAME:MASTER%見せ付けるように%TEXTR("小さな/幼い")%%TEXTR("膣/性器")%をくぱぁと開いた…	%CALLNAME:ARG%跨坐在%CALLNAME:MASTER%的股間上、%CALLNAME:MASTER%像是要刻意被看見地、將%TEXTR("小小的/幼稚的")%%TEXTR("膣/性器")%撥開…
ヒクつく%TEXTR("膣口/膣穴")%からドロリと愛液が垂れ落ち、%CALLNAME:MASTER%のペニスをドロドロにしていく……	顫抖著的%TEXTR("膣口/膣穴")%不斷地流出黏稠地愛液、弄濕了%CALLNAME:MASTER%的陰莖……
「%CNAMET(ARG, "二人称", "どもり")%はもうガマンできないですよね…？」	「%CNAMET(ARG, "二人称", "どもり")%已經忍不住喽…？」
「%CNAMET(ARG, "二人称")%がどっちでも…%CNAMET(ARG, "一人称")%がもうガマンできないです……」	「%CNAMET(ARG, "二人称")%…%CNAMET(ARG, "一人称")%已經不行了……」
"「%CNAMET(ARG, "二人称")%の%TEXTR("せーし/せーし/せーえき/おちんちんみるく")%…%CNAMET(ARG, "一人称")%の%TEXTR("しきゅー/しきゅー/おまんこ")%に%TEXTR("いっぱい/たっぷり/たくさん")%%TEXTR("のませて/のませて/のませて/ビュービューして/ドピュドピュして/ぶっコイて/むだうちして")%ください……_BHH_」_W"	"「把%CNAMET(ARG, "二人称")%的%TEXTR("精子/精子/精液/肉棒牛奶")%…注入%CNAMET(ARG, "一人称")%的%TEXTR("子宮/子宮/小穴")%記得要%TEXTR("多到溢出來地/全部/多一點")%%TEXTR("讓我喝/讓我喝/讓我喝/射出來/射出來/毫無忌憚地射出來/直到弄壞為止")%喔……_BHH_」_W"
